timestamp_s,frame_index,box_index,track_id,cx_px,cy_px,w_px,h_px,diameter_px,diameter_cm
13.3593,246,0,-1,59,334,117.57,274.54,196.06,12.1271
14.4669,273,0,-1,475,181,131.72,122.95,127.34,7.8764
14.5079,274,0,2,475,181,131.72,122.95,127.34,7.8764
14.5454,275,0,2,475,181,131.72,122.95,127.34,7.8764
14.5866,276,0,2,475,181,131.72,122.95,127.34,7.8764
18.7536,376,0,-1,405,186,125.72,116.34,121.03,7.4864
18.7990,377,0,-1,405,186,125.72,116.34,121.03,7.4864
23.7544,495,0,-1,454,189,130.23,119.27,124.75,7.7166
27.3440,580,0,-1,378,59,124.18,110.68,117.43,7.2638
27.3901,581,0,5,378,59,124.18,110.68,117.43,7.2638
27.4375,582,0,5,378,59,124.18,110.68,117.43,7.2638
27.4836,583,0,5,378,59,124.18,110.68,117.43,7.2638
31.7105,676,0,-1,72,421,143.14,115.90,129.52,8.0116
31.7570,677,0,-1,72,421,143.14,115.90,129.52,8.0116
31.8230,678,0,-1,72,421,143.14,115.90,129.52,8.0116
32.5387,693,0,-1,69,421,136.61,115.01,125.81,7.7821
34.5159,734,0,-1,622,244,34.79,130.57,82.68,5.1141
34.5538,735,0,-1,622,244,34.79,130.57,82.68,5.1141
34.5970,736,0,-1,622,244,34.79,130.57,82.68,5.1141
34.6482,737,0,-1,622,244,35.48,130.71,83.09,5.1397
34.6994,738,0,-1,622,243,33.86,130.23,82.04,5.0747
34.6994,738,1,-1,138,438,203.19,81.75,142.47,8.8125
34.7459,739,0,-1,623,245,32.55,130.09,81.32,5.0299
34.7980,740,0,-1,623,245,32.55,130.09,81.32,5.0299
37.1505,791,0,-1,626,268,25.46,113.60,69.53,4.3007
37.2028,792,0,-1,626,268,25.46,113.60,69.53,4.3007
37.8764,806,0,-1,630,277,19.39,105.74,62.56,3.8699
45.6525,969,0,-1,343,15,95.87,29.32,62.59,3.8718
46.0030,977,0,-1,344,14,94.55,28.51,61.53,3.8057
46.0437,978,0,-1,344,14,94.55,28.51,61.53,3.8057
46.0847,979,0,-1,344,14,94.55,28.51,61.53,3.8057
54.6544,1166,0,-1,400,122,385.32,238.89,312.11,19.3055
112.0286,2516,0,-1,103,246,201.14,278.85,240.00,14.8451
141.2608,3200,0,-1,158,354,116.31,70.91,93.61,5.7903
147.6092,3337,0,-1,100,155,194.42,81.46,137.94,8.5322
147.6486,3338,0,-1,100,155,194.42,81.46,137.94,8.5322
147.6898,3339,0,-1,100,155,194.42,81.46,137.94,8.5322
147.7289,3340,0,-1,100,155,194.42,81.46,137.94,8.5322
147.7790,3341,0,-1,100,155,194.42,81.46,137.94,8.5322
159.1478,3571,0,-1,397,123,390.28,241.78,316.03,19.5482
159.6343,3582,0,-1,399,122,385.48,239.97,312.72,19.3438
